ID	Emm. Date	Phenotype	Photo	Verif Pheno	Dissec. Date	Pheno.Call
8_1_1	13-Aug	Y	I8180429-30		20-Aug	R
8_1_4	13-Aug	C	I8180411		20-Aug	R
8_2_2	11-Aug	I	I8180287		18-Aug	M
8_2_5	11-Aug	N	No photo		18-Aug	M
8_3_3	12-Aug	Y	I8180350		19-Aug	R
9_1_1	11-Aug	C	I8180288		18-Aug	R
9_1_2	11-Aug	C	I8180284		18-Aug	R
9_1_3	11-Aug	I	I8180281		18-Aug	M
9_1_4	12-Aug	C	I8180352		19-Aug	R
9_2_2	11-Aug	Y	I8180290		18-Aug	R
9_2_3	11-Aug	C	I8180285		18-Aug	R
9_2_3	12-Aug	C	I8180316		19-Aug	R
9_2_4	11-Aug	Y	I8180283		18-Aug	R
9_3_3	12-Aug	C	I8180315		19-Aug	R
9_4_1	13-Aug	C	I8180434		20-Aug	R
9_4_4	12-Aug	C	I8180325		19-Aug	R
E_1_5	13-Aug	Y(m)	I8180377		20-Aug	M
E_11_1	13-Aug	Y	I8180392		20-Aug	R
E_11_4	15-Aug	C	I8180465		21-Aug	R
E_11_5	13-Aug	C	I8180425		20-Aug	R
E_12_3	13-Aug	C	I8180415		20-Aug	R
E_13_2	13-Aug	C	I8180440		20-Aug	R
E_13_3	13-Aug	I	I8180445-47		20-Aug	M
E_13_5	13-Aug	Y(b)	I8180407-08		20-Aug	R
E_14_1	15-Aug	C	I8180466		21-Aug	R
E_14_2	12-Aug	C	I8180304		19-Aug	R
E_14_3	13-Aug	C	I8180451		20-Aug	R
E_14_5	15-Aug	C	I8180464		21-Aug	R
E_2_5	14-Aug	C	I8180462		21-Aug	R
E_3_1	12-Aug	I	I8180357		19-Aug	M
E_5_3	13-Aug	Y(b)	I8180366-7		20-Aug	M
E_6_1	12-Aug	C	I8180326		19-Aug	R
E_6_2	13-Aug	Y	I8180393		20-Aug	R
E_6_4	13-Aug	C	I8180421		20-Aug	R
E_7_2	12-Aug	C	I8180349		19-Aug	R
E_7_4	13-Aug	C	I8180428		20-Aug	R
E_7_5	14-Aug	Y(s)	I8180454-55		21-Aug	M
E_8_1	13-Aug	Y	I8180396-97		20-Aug	R
E_8_2	13-Aug	C	I8180383		20-Aug	R
E_8_4	13-Aug	Y(b)	I8180390		20-Aug	M
E_9_1	12-Aug	C	I8180344		19-Aug	R
E_9_3	12-Aug	Y	I8180319		19-Aug	R
E_9_4	13-Aug	C	I8180372		20-Aug	R
E_9_5	13-Aug	C	I8180410		20-Aug	R
FIT?	12-Aug	Y	I8180313		19-Aug	R
18E	11-Aug	?	?		?	R
